Index,Country,Year,Happiness Rank,Happiness Score,Freedom,Generosity,Life Expectancy,GDP/capita,Corruption
298,Angola,2016,141,3.866,0.00589,0.12071,0.04991,1.2349370535554798,0.08434
299,Niger,2016,142,3.856,0.38041,0.2097,0.26162,1.440485198157155,0.17176
300,South Sudan,2016,143,3.832,0.19662,0.25899,0.15781,2.887063801439518,0.13015
301,Chad,2016,144,3.763,0.12807,0.18667,0.03824,1.0718648693583321,0.04952
302,Burkina Faso,2016,145,3.739,0.3337,0.24353,0.21297,1.5846760474934096,0.12533
303,Uganda,2016,145,3.739,0.43653,0.27102,0.19625,1.3300280071241117,0.06442
304,Yemen,2016,147,3.724,0.2287,0.09821,0.31048,1.2315086961713357,0.05892
305,Madagascar,2016,148,3.695,0.13684,0.2204,0.37109,1.0816633551622767,0.07506
306,Tanzania,2016,149,3.666,0.3176,0.31472,0.357,1.4076617577422088,0.05099
307,Liberia,2016,150,3.622,0.25748,0.24063,0.23165,1.1902578924638296,0.04852
308,Guinea,2016,151,3.607,0.30953,0.29914,0.18829,1.5925555657401724,0.1192
309,Rwanda,2016,152,3.515,0.5432,0.23552,0.31865,1.294494148602085,0.50521
310,Benin,2016,153,3.484,0.39747,0.2018,0.21028,1.3768799036465078,0.06681
311,Afghanistan,2016,154,3.36,0.1643,0.31268,0.17344,1.2486712675700475,0.07112
312,Togo,2016,155,3.303,0.34678,0.17517,0.24811,1.331957946602422,0.11587
313,Syria,2016,156,3.069,0.06912,0.48397,0.62994,1.9409935865838748,0.17233
314,Burundi,2016,157,2.905,0.0432,0.2029,0.15747,1.01541764421976,0.09419
315,Norway,2017,1,7.53700017929077,0.635422587394714,0.36201223731041,0.796666502952576,4.041071986625883,0.315963834524155
316,Denmark,2017,2,7.52199983596802,0.626006722450256,0.355280488729477,0.792565524578094,3.6778193183402643,0.40077006816864
317,Iceland,2017,3,7.50400018692017,0.627162635326385,0.475540220737457,0.833552122116089,3.763991637443416,0.153526559472084
318,Switzerland,2017,4,7.49399995803833,0.620070576667786,0.290549278259277,0.858131289482117,4.301655721079145,0.367007285356522
319,Finland,2017,5,7.4689998626709,0.617950856685638,0.24548277258873,0.80915766954422,3.7670417057806596,0.38261154294014
320,Netherlands,2017,6,7.3769998550415,0.585384488105774,0.470489829778671,0.810696125030518,3.6336948659257877,0.282661825418472
321,Canada,2017,7,7.31599998474121,0.611100912094116,0.435539722442627,0.83455765247345,3.778926596028692,0.287371516227722
322,New Zealand,2017,8,7.31400012969971,0.614062130451202,0.500005125999451,0.816759705543518,3.787514502988358,0.382816702127457
323,Sweden,2017,9,7.28399991989136,0.612924098968506,0.385399252176285,0.830875158309937,3.4909712757411335,0.384398728609085
324,Australia,2017,10,7.28399991989136,0.601607382297516,0.477699249982834,0.84388679265976,3.7946037815184974,0.301183730363846
325,Israel,2017,11,7.21299982070923,0.405988603830338,0.330082654953003,0.83840399980545,3.416340674422117,0.0852421000599861
326,Costa Rica,2017,12,7.0789999961853,0.580131649971008,0.214613229036331,0.759509265422821,2.6006983366953644,0.100106589496136
327,Austria,2017,13,7.00600004196167,0.567766189575195,0.316472321748734,0.815328419208527,3.8084793929070075,0.221060365438461
328,United States,2017,14,6.99300003051758,0.505740523338318,0.392578780651093,0.77428662776947,2.7746926935414247,0.135638788342476
329,Ireland,2017,15,6.97700023651123,0.573110342025757,0.42785832285881,0.80978262424469,4.032997919411201,0.29838815331459
330,Germany,2017,16,6.95100021362305,0.562511384487152,0.336269170045853,0.798950731754303,2.667762216950317,0.276731938123703
331,Belgium,2017,17,6.89099979400635,0.539770722389221,0.231503337621689,0.818091869354248,4.777464660331185,0.251343131065369
332,Luxembourg,2017,18,6.86299991607666,0.59662789106369,0.283180981874466,0.845089495182037,3.8036456941264314,0.31883442401886
333,United Kingdom,2017,19,6.71400022506714,0.508190035820007,0.492774158716202,0.805335938930511,3.6981030537315718,0.265428066253662
334,Chile,2017,20,6.65199995040894,0.376895278692245,0.326662421226501,0.819479703903198,4.1673069006823065,0.0822879821062088
335,United Arab Emirates,2017,21,6.64799976348877,0.60834527015686,0.3609419465065,0.726798236370087,3.547950099691773,0.324489563703537
336,Brazil,2017,22,6.63500022888184,0.437453746795654,0.16234989464283,0.616552352905273,3.8966219066312457,0.111092761158943
337,Czech Republic,2017,23,6.60900020599365,0.490946173667908,0.0881067588925362,0.754444003105164,2.8412383617392964,0.0368729270994663
338,Argentina,2017,24,6.59899997711182,0.494519203901291,0.109457060694695,0.695137083530426,4.580737447946149,0.059739887714386
339,Mexico,2017,25,6.57800006866455,0.412730008363724,0.120990432798862,0.709978997707367,2.8965778834293476,0.132774114608765
340,Singapore,2017,26,6.57200002670288,0.549840569496155,0.345965981483459,0.949492394924164,3.773186990807762,0.46430778503418
341,Malta,2017,27,6.52699995040894,0.588767051696777,0.574730575084686,0.821944236755371,3.0257227846007764,0.153066068887711
342,Uruguay,2017,28,6.4539999961853,0.57939225435257,0.175096929073334,0.719216823577881,5.421757365092486,0.178061872720718
343,Guatemala,2017,29,6.4539999961853,0.531310617923737,0.283488392829895,0.540239989757538,3.5886640416632662,0.0772232785820961
344,Panama,2017,30,6.4520001411438,0.550026834011078,0.21055693924427,0.706156134605408,2.867699097375251,0.070983923971653
345,France,2017,31,6.44199991226196,0.470222115516663,0.129762306809425,0.844465851783752,3.2510564335527357,0.172502428293228
346,Thailand,2017,32,6.42399978637695,0.580200731754303,0.572123110294342,0.647239029407501,2.891166344153525,0.0316127352416515
347,Taiwan Province of China,2017,33,6.42199993133545,0.361466586589813,0.258360475301743,0.793984234333038,2.5058048992714914,0.0638292357325554
348,Spain,2017,34,6.40299987792969,0.408781230449677,0.190133571624756,0.888960599899292,2.6297794937655925,0.0709140971302986
349,Qatar,2017,35,6.375,0.604130983352661,0.330473870038986,0.710098087787628,4.036629251392949,0.439299255609512
350,Colombia,2017,36,6.35699987411499,0.477487415075302,0.149014472961426,0.595027923583984,3.421605892237863,0.0466687418520451
351,Saudi Arabia,2017,37,6.3439998626709,0.449750572443008,0.147616013884544,0.590148329734802,3.3447769174134296,0.27343225479126
352,Trinidad and Tobago,2017,38,6.16800022125244,0.518630743026733,0.325296461582184,0.519983291625977,3.636348431611549,0.0089648161083459
353,Kuwait,2017,39,6.10500001907349,0.496337592601776,0.228289797902107,0.632105708122253,4.731394597708685,0.215159550309181
354,Slovakia,2017,40,6.09800004959106,0.295817464590073,0.136544480919838,0.712732911109924,2.7056441039062733,0.0242108516395092
355,Bahrain,2017,41,6.08699989318848,0.536746919155121,0.172668486833572,0.653133034706116,3.35962714813243,0.257042169570923
356,Malaysia,2017,42,6.08400011062622,0.402264982461929,0.416608929634094,0.618784427642822,2.148006064571625,0.0656007081270218
357,Nicaragua,2017,43,6.07100009918213,0.447551846504211,0.301674216985703,0.653095960617065,2.10755814484324,0.130687981843948
358,Ecuador,2017,44,6.00799989700317,0.4551981985569,0.150112465023994,0.685636222362518,1.8821975428976354,0.140134647488594
359,El Salvador,2017,45,6.00299978256226,0.432452529668808,0.0782579854130745,0.596018552780151,3.2184825798819907,0.0899809598922729
360,Poland,2017,46,5.97300004959106,0.520342111587524,0.158465966582298,0.699475347995758,3.56348856845363,0.0593078061938286
361,Uzbekistan,2017,47,5.97100019454956,0.658248662948608,0.415983647108078,0.498272627592087,3.471580618847444,0.246528223156929
362,Italy,2017,48,5.96400022506714,0.256450712680817,0.17278964817524,0.853144347667694,2.372679720118312,0.0280280914157629
363,Russia,2017,49,5.96299982070923,0.373783111572266,0.0522638224065304,0.547349333763123,3.75752313633267,0.0329628810286522
364,Belize,2017,50,5.95599985122681,0.547509372234344,0.240015640854836,0.450191766023636,3.4943242173202966,0.0965810716152191
365,Japan,2017,51,5.92000007629395,0.505625545978546,0.12057276815176,0.913475871086121,1.9765047361847015,0.163760736584663
366,Lithuania,2017,52,5.90199995040894,0.234231784939766,0.010164656676352,0.62894994020462,1.8120884139480788,0.0118656428530812
367,Algeria,2017,53,5.87200021743774,0.233335807919502,0.0694366469979286,0.617584645748138,2.1379555031181487,0.146096110343933
368,Latvia,2017,54,5.84999990463257,0.325707912445068,0.153074786067009,0.638566970825195,3.072648827952034,0.0738427266478539
369,South Korea,2017,55,5.83799982070923,0.257921665906906,0.206674367189407,0.900214076042175,3.2706214083836556,0.0632826685905457
370,Moldova,2017,56,5.83799982070923,0.240729048848152,0.208779126405716,0.589465200901031,3.1494568203995215,0.0100912861526012
371,Romania,2017,57,5.82499980926514,0.457003742456436,0.133519917726517,0.685158312320709,1.809860915391367,0.00438790069893
372,Bolivia,2017,58,5.82299995422363,0.558732926845551,0.22556072473526,0.473630249500275,2.4600704801467175,0.0604777261614799
373,Turkmenistan,2017,59,5.82200002670288,0.41827192902565,0.24992498755455,0.437726080417633,2.806449047332106,0.259270340204239
374,Kazakhstan,2017,60,5.81899976730347,0.437454283237457,0.201964423060417,0.606041550636292,3.081911434153158,0.119282886385918
375,North Cyprus,2017,61,5.80999994277954,0.471203625202179,0.266845703125,0.834647238254547,3.0797856487438993,0.155353352427483
376,Slovenia,2017,62,5.75799989700317,0.572575807571411,0.242649093270302,0.790828227996826,2.952168544120078,0.0451289787888527
377,Peru,2017,63,5.71500015258789,0.450002878904343,0.126819714903831,0.630166113376617,3.1001484579322747,0.0470490865409374
378,Mauritius,2017,64,5.62900018692017,0.491247326135635,0.360933750867844,0.638007462024689,3.1193978924230588,0.0421815551817417
379,Cyprus,2017,65,5.62099981307983,0.355111539363861,0.271254301071167,0.84471470117569,2.2487623540309247,0.0412379764020443
380,Estonia,2017,66,5.61100006103516,0.479131430387497,0.0988908112049103,0.695168316364288,3.3469851988316295,0.183248922228813
381,Belarus,2017,67,5.56899976730347,0.295400261878967,0.15513750910759,0.637714266777039,3.347219495995853,0.156313821673393
382,Libya,2017,68,5.52500009536743,0.465733230113983,0.152073666453362,0.520169019699097,2.5581644766128937,0.0926102101802826
383,Turkey,2017,69,5.5,0.300740599632263,0.0466930419206619,0.637605607509613,2.228837167681963,0.0996715798974037
384,Paraguay,2017,70,5.49300003051758,0.473507791757584,0.224150657653809,0.579250693321228,2.6077036331205155,0.091065913438797
385,"Hong Kong S.A.R., China",2017,71,5.47200012207031,0.490968644618988,0.374465793371201,0.943062424659729,2.739046863921415,0.293933749198914
386,Philippines,2017,72,5.42999982833862,0.585214674472809,0.193513423204422,0.468009054660797,3.998982684908625,0.0993318930268288
387,Serbia,2017,73,5.39499998092651,0.208715528249741,0.220125883817673,0.65078467130661,3.163692948999167,0.0409037806093693
388,Jordan,2017,74,5.33599996566772,0.418421149253845,0.172170460224152,0.604590058326721,2.2893547287021843,0.11980327218771
